# Avida count data
# Thu Feb 26 18:32:17 2009
#  1: update
#  2: number of insts executed this update
#  3: number of organisms
#  4: number of different genotypes
#  5: number of different threshold genotypes
#  6: number of different species
#  7: number of different threshold species
#  8: number of different lineages
#  9: number of births in this update
# 10: number of deaths in this update
# 11: number of breed true
# 12: number of breed true organisms?
# 13: number of no-birth organisms
# 14: number of single-threaded organisms
# 15: number of multi-threaded organisms
# 16: number of modified organisms

13500 107640 3586 2726 3128 0 0 0 204 206 85 1447 2074 3586 0 0
13600 107730 3590 2812 3071 0 0 0 228 229 87 1395 2051 3590 0 0
13700 107820 3595 2761 3183 0 0 0 215 214 92 1409 2083 3595 0 0
13800 107700 3588 2774 3163 0 0 0 234 236 95 1413 2086 3588 0 0
13900 107790 3594 2746 3236 0 0 0 249 248 104 1425 2074 3594 0 0
14000 107820 3592 2754 3182 0 0 0 216 218 85 1452 2095 3592 0 0
14100 107700 3588 2728 3176 0 0 0 219 221 103 1478 2074 3588 0 0
14200 107730 3593 2785 3187 0 0 0 197 195 78 1407 2077 3593 0 0
14300 107670 3590 2758 3190 0 0 0 227 226 97 1449 2069 3590 0 0
14400 107700 3592 2787 3114 0 0 0 192 190 76 1435 2081 3592 0 0
14500 107820 3594 2716 3142 0 0 0 219 219 95 1527 2112 3594 0 0
14600 107760 3595 2734 3097 0 0 0 209 206 88 1441 2073 3595 0 0
14700 107550 3589 2787 3104 0 0 0 237 233 97 1433 2097 3589 0 0
14800 107850 3594 2695 3027 0 0 0 231 232 101 1497 2094 3594 0 0
14900 107670 3591 2719 3040 0 0 0 226 224 96 1464 2086 3591 0 0
15000 107730 3593 2768 3039 0 0 0 239 237 93 1416 2072 3593 0 0
15100 107790 3592 2750 3054 0 0 0 237 238 96 1437 2094 3592 0 0
15200 107760 3595 2774 2976 0 0 0 237 234 96 1403 2114 3595 0 0
15300 107850 3593 2758 3051 0 0 0 225 227 98 1465 2104 3593 0 0
15400 107640 3586 2749 3074 0 0 0 192 194 83 1456 2091 3586 0 0
15500 107790 3593 2791 2993 0 0 0 224 224 84 1413 2080 3593 0 0
15600 107790 3591 2780 3109 0 0 0 246 248 97 1391 2091 3591 0 0
15700 107700 3590 2773 3184 0 0 0 190 190 80 1396 2106 3590 0 0
15800 107820 3592 2767 3162 0 0 0 225 227 103 1439 2083 3592 0 0
15900 107790 3592 2734 3211 0 0 0 214 215 97 1456 2077 3592 0 0
16000 107850 3592 2782 3198 0 0 0 239 242 97 1471 2073 3592 0 0
