# Avida Dominant Data
# Thu Feb 26 18:32:17 2009
#  1: Update
#  2: Average Merit of the Dominant Genotype
#  3: Average Gestation Time of the Dominant Genotype
#  4: Average Fitness of the Dominant Genotype
#  5: Repro Rate?
#  6: Size of Dominant Genotype
#  7: Copied Size of Dominant Genotype
#  8: Executed Size of Dominant Genotype
#  9: Abundance of Dominant Genotype
# 10: Number of Births
# 11: Number of Dominant Breed True?
# 12: Dominant Gene Depth
# 13: Dominant Breed In
# 14: Max Fitness?
# 15: Genotype ID of Dominant Genotype
# 16: Name of the Dominant Genotype

7000 421.647 277 1.52219 0.00361011 101 101 90 9 0 0 159 0 2.77256 777372 101-aasqc
7100 398.572 274.4 1.45081 0.00364433 102 102 92.6286 7 1 1 168 0 2.76259 779764 102-aaxvz
7200 364.65 272.317 1.33907 0.0036722 101 101 92.6098 9 0 0 159 0 2.76259 799428 101-aatnt
7300 360.757 275 1.31185 0.00363636 102 101.643 91 8 0 0 157 0 5.29412 816612 102-aazdh
7400 368.995 277.28 1.33077 0.00360647 102 102 93.6 8 1 0 176 0 2.73381 825296 102-aazoc
7500 375.275 281 1.3355 0.00355872 103 103 95 8 0 0 171 0 7.2657 835902 103-aahfn
7600 522.793 277 1.88734 0.00361011 103 103 92.25 8 0 0 173 0 5.25373 841522 103-aahhb
7700 368.461 273 1.34967 0.003663 101 101 93 8 0 0 163 0 2.74453 865108 101-aawea
7800 363.333 276 1.31642 0.00362319 102 102 92 9 0 0 164 0 5.39259 848980 102-abakk
7900 379.365 277 1.36955 0.00361011 100 100 96 8 0 0 172 0 5.29368 883437 100-aagyi
8000 363.1 277.5 1.30845 0.00360364 101 101 91.8571 8 0 0 169 0 5.46763 901008 101-aaxql
8100 350.496 270 1.29813 0.0037037 101 101 89 10 0 0 165 0 5.33333 897879 101-aaxlq
8200 359.937 273 1.31845 0.003663 101 101 91 8 0 0 183 0 5.48571 925817 101-aaysk
8300 318.196 273.786 1.16235 0.0036525 101 101 93.1071 11 2 2 176 0 2.7658 943010 101-aazdw
8400 367.477 277 1.32663 0.00361011 102 102 93 7 1 0 175 0 2.78261 950707 102-abdny
8500 484.283 274 1.76746 0.00364964 101 101 91 7 0 0 182 0 5.35273 968044 101-abacv
8600 349.959 270 1.29615 0.0037037 100 100 88.9231 7 1 0 187 0 5.43066 974715 100-aahxg
8700 373.88 276 1.35464 0.00362319 101 101 94.697 8 1 0 199 0 5.39623 982803 101-abaot
8800 666.198 272.471 2.44468 0.00367016 100 100 92.2941 8 0 0 207 0 5.44803 1011724 100-aaigu
8900 609.38 280 2.17636 0.00357143 102 102 91.3945 10 0 0 203 0 5.44803 1005378 102-abezj
9000 377.55 275 1.37291 0.00363636 101 101 95 8 0 0 190 0 5.37184 1033931 101-abcji
9100 362.529 276 1.31351 0.00362319 101 101 92 7 2 1 192 0 5.39068 1042518 101-abcra
9200 642.856 281 2.28774 0.00355872 102 102 91.1818 9 0 0 211 0 5.48571 1060062 102-abgfz
9300 347.835 272 1.2788 0.00367647 102 102 88.0204 8 1 1 217 0 5.52518 1057870 102-abgek
9400 366.074 276 1.32635 0.00362319 103 103 93 8 1 0 198 0 3.07307 1079086 103-aajxd
9500 356.41 268.333 1.32824 0.00372672 99 99 90.549 9 0 0 210 0 5.40925 1089146 099-aafrg
9600 372.338 278.833 1.33533 0.00358638 101 101 93.9722 8 0 0 200 0 10.7839 1102150 101-abeex
9700 617.814 282 2.19083 0.0035461 103 103 93.2909 9 2 2 214 0 11.0423 1115820 103-aakhh
9800 690.329 280.282 2.46015 0.00356784 104 104 95.8974 7 0 0 234 0 5.60289 1132718 104-aabzr
9900 538.946 281 1.91796 0.00355872 102 102 91.4906 10 0 0 227 0 11.7165 1140097 102-abiey
10000 626.631 281 2.23 0.00355872 103 103 94.2105 8 1 0 220 0 5.38594 1155763 103-aakvl
10100 604.724 281 2.15204 0.00355872 103 103 93.5172 11 0 0 226 0 5.33154 1175363 103-aalba
10200 366.02 273 1.34073 0.003663 99 99 93 8 2 2 222 0 5.31062 1182312 099-aagui
10300 362.358 275.267 1.31639 0.00363285 101 101 91.6667 10 0 0 253 0 5.6 1197699 101-abgpi
10400 645.598 260.059 2.48292 0.00384529 99 99 85.6471 9 3 2 266 0 5.65714 1215221 099-aahfc
10500 657.235 283 2.32238 0.00353357 102 102 90.2 7 0 0 241 0 5.67742 1224495 102-abkfc
10600 1301.11 281.56 4.62246 0.00355167 102 102 95.56 7 1 0 252 0 5.65714 1232965 102-abkij
10700 1305.2 281.667 4.63487 0.00355033 102 102 95.3778 9 1 1 255 0 9.79791 1248566 102-abkws
10800 1354.94 280.448 4.83256 0.00356573 102 102 96 8 0 0 258 0 10.1103 1264068 102-abllh
10900 612.18 278 2.20209 0.00359712 102 102 93.1719 9 0 0 236 0 10.2287 1248829 102-abkwl
11000 662.599 278.277 2.38091 0.00359356 103 103 90.8936 8 0 0 250 0 5.63701 1279334 103-aanmu
11100 1328.11 283.75 4.68143 0.00352426 103 103 96.6711 8 2 0 265 0 11.0463 1287817 103-aantg
11200 1213.11 385.897 3.14397 0.00259138 102 101.897 97.4483 9 0 0 269 0 10.5532 1307899 102-abnoi
11300 1190.31 280.097 4.24957 0.0035703 103 103 93.5 9 1 0 272 0 11.0813 1319469 103-aaooi
11400 1321.12 279.766 4.72305 0.00357445 103 103 96.2553 10 0 0 270 0 61.6604 1334807 103-aapbr
